cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
         1, 3.010225594E-01,-1.105009113E-15, 4.769532979E-01,-4.334833984E+02,-7.343785286E+00, 4.846123502E-14, 5.522798157E+01, 3.554002941E-02, 4.981592806E-03
         2, 3.254669905E-01,-1.064194513E-15, 4.704845250E-01,-3.352304077E+02,-7.998519897E+00, 5.410949466E-14, 5.346007919E+01, 3.401079029E-02, 4.802579439E-03
         3, 3.488992453E-01,-1.015282596E-15, 4.630245864E-01,-2.476936951E+02,-8.391731262E+00, 5.795364189E-14, 5.185877991E+01, 3.163842112E-02, 4.526994241E-03
         4, 3.695785701E-01,-9.624165165E-16, 4.551835060E-01,-1.602193146E+02,-8.544390678E+00, 5.959122085E-14, 5.030487061E+01, 2.846333571E-02, 4.169334102E-03
         5, 3.871173859E-01,-9.110200396E-16, 4.477025270E-01,-8.871329498E+01,-8.572987556E+00, 5.999367669E-14, 4.886408234E+01, 2.500064671E-02, 3.748061151E-03
         6, 4.022323787E-01,-8.633169439E-16, 4.408346415E-01,-2.833626747E+01,-8.484722137E+00, 5.932754288E-14, 4.752524185E+01, 2.159052528E-02, 3.325583907E-03
         7, 4.152557552E-01,-8.200091552E-16, 4.346256256E-01, 2.832833290E+01,-8.378482819E+00, 5.834221994E-14, 4.616087723E+01, 1.831893809E-02, 2.899955499E-03
         8, 4.262343943E-01,-7.818480974E-16, 4.291491508E-01, 7.496779633E+01,-8.219132423E+00, 5.679484660E-14, 4.477512360E+01, 1.528476179E-02, 2.502115013E-03
         9, 4.354198277E-01,-7.489408674E-16, 4.244035780E-01, 1.130391235E+02,-8.020024300E+00, 5.489358967E-14, 4.328704071E+01, 1.255030371E-02, 2.137366699E-03
        10, 4.431591928E-01,-7.205873924E-16, 4.202828407E-01, 1.437156067E+02,-7.776309490E+00, 5.261069358E-14, 4.161547852E+01, 1.008118130E-02, 1.797034961E-03
        11, 4.498624802E-01,-6.948384379E-16, 4.165199101E-01, 1.789712067E+02,-7.503746510E+00, 5.102862577E-14, 3.976360703E+01, 7.788811345E-03, 1.485881511E-03
        12, 4.534618556E-01,-6.419467890E-16, 4.148552716E-01, 1.693031769E+02,-7.307912827E+00, 9.344747198E-13, 3.813434219E+01, 6.698833779E-03, 1.224980228E-03
        13, 4.633847773E-01,-6.183504098E-16, 4.104439914E-01, 2.046571808E+02,-7.119992256E+00,-8.579109645E-13, 3.533366394E+01, 4.691811278E-03, 8.097974344E-04
        14, 4.666218460E-01,-6.196846985E-16, 4.052481353E-01, 1.656216888E+02,-8.034259796E+00, 5.240252676E-14, 1.883272934E+01, 5.788313691E-03, 1.187529173E-03
        15, 4.667201936E-01,-5.883060982E-16, 4.003810883E-01, 1.917888947E+02,-2.232052565E+00, 1.409983241E-14,-3.274423122E+00, 6.139520556E-03, 9.938889624E-04
        16, 4.664894342E-01,-5.488171575E-16, 3.941019475E-01, 1.923542480E+02, 4.624347210E+00,-2.847722058E-14, 1.413822556E+01, 5.748396274E-03, 8.014689750E-04
        17, 4.635298252E-01,-5.186615670E-16, 3.904562294E-01, 1.946006470E+02, 7.494919300E+00,-2.513093900E-13, 3.429135513E+01, 4.199641757E-03, 8.217872372E-04
        18, 4.595654905E-01,-5.016558453E-16, 3.876296282E-01, 1.923411865E+02, 7.335778713E+00, 8.831219718E-14, 3.687725067E+01, 5.456994288E-03, 1.049020832E-03
        19, 4.540595114E-01,-4.910223525E-16, 3.844943047E-01, 1.765106812E+02, 7.428783894E+00,-4.481831573E-14, 3.887357712E+01, 7.384794764E-03, 1.331766702E-03
        20, 4.468359053E-01,-4.703924416E-16, 3.808846772E-01, 1.467259064E+02, 7.721743584E+00,-4.617140004E-14, 4.084042740E+01, 9.483292699E-03, 1.657191891E-03
        21, 4.418822527E-01,-4.561342831E-16, 3.783708513E-01, 1.276366653E+02, 7.791250229E+00,-4.317379787E-14, 4.248759079E+01, 1.121533010E-02, 2.086828235E-03
        22, 4.324190319E-01,-4.267693978E-16, 3.729068935E-01, 8.426165771E+01, 8.053976059E+00,-4.468300729E-14, 4.438959122E+01, 1.455698162E-02, 2.511725507E-03
