nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
         1,-5.000000237E+00, 0.000000000E+00, 0.000000000E+00, 3.392135747E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.859899155E-02, 0.000000000E+00
         2,-4.802974349E+00, 0.000000000E+00,-9.094947450E-16, 3.409946876E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 4.147184517E-02, 0.000000000E+00
         3,-4.605947973E+00, 0.000000000E+00,-9.094947450E-16, 3.461714089E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.565431221E-02, 0.000000000E+00
         4,-4.408922084E+00, 0.000000000E+00,-9.094947450E-16, 3.552546690E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.986420595E-02, 0.000000000E+00
         5,-4.211896196E+00, 0.000000000E+00,-9.094947450E-16, 3.691136490E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 6.095406566E-02, 0.000000000E+00
         6,-4.014870064E+00, 0.000000000E+00,-9.094947450E-16, 3.877412927E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 6.015566115E-02, 0.000000000E+00
         7,-3.817844175E+00, 0.000000000E+00,-9.094947450E-16, 4.113583100E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 6.295442478E-02, 0.000000000E+00
         8,-3.620818043E+00, 0.000000000E+00,-9.094947450E-16, 4.413942267E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 6.622204027E-02, 0.000000000E+00
         9,-3.423792155E+00, 0.000000000E+00,-9.094947450E-16, 4.786959039E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.788506175E-02, 0.000000000E+00
        10,-3.226766022E+00, 0.000000000E+00,-9.094947450E-16, 5.234445428E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.329233785E-02, 0.000000000E+00
        11,-3.029740134E+00, 0.000000000E+00,-9.094947450E-16, 5.783852143E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.352509013E-02, 0.000000000E+00
        12,-2.832714002E+00, 0.000000000E+00,-9.094947450E-16, 6.472621695E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.365363462E-02, 0.000000000E+00
        13,-2.635688113E+00, 0.000000000E+00,-9.094947450E-16, 7.294891556E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.303652207E-02, 0.000000000E+00
        14,-2.438661981E+00, 0.000000000E+00,-9.094947450E-16, 8.311265624E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 5.828807215E-02, 0.000000000E+00
