nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
         1,-5.000000237E+00, 2.000000095E-01, 0.000000000E+00, 3.382840675E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 4.487969509E-02, 0.000000000E+00
         2,-4.858657975E+00, 2.000000072E-01, 1.403993720E-15, 3.390278082E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 3.335398520E-02, 0.000000000E+00
         3,-4.764110070E+00, 2.000000123E-01, 1.548506316E-15, 3.407866883E+00, 0.000000000E+00, 0.000000000E+00, 5.000000149E+01, 3.723322553E-02, 0.000000000E+00
         4,-4.700477873E+00, 2.000000054E-01, 1.561447633E-15, 3.422341539E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 3.921343668E-02, 0.000000000E+00
         5,-4.549332318E+00, 2.000000084E-01, 1.641842104E-15, 3.478449251E+00, 0.000000000E+00, 0.000000000E+00, 5.000000075E+01, 3.832557732E-02, 0.000000000E+00
         6,-4.511219040E+00, 1.999999994E-01, 1.661807162E-15, 3.495133832E+00, 0.000000000E+00, 0.000000000E+00, 4.999999925E+01, 3.799894002E-02, 0.000000000E+00
         7,-4.338797312E+00, 2.000000012E-01, 1.679770772E-15, 3.593530477E+00, 0.000000000E+00, 0.000000000E+00, 4.999999925E+01, 3.642206060E-02, 0.000000000E+00
         8,-4.309609504E+00, 2.000000056E-01, 1.678115304E-15, 3.612773741E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 3.590560248E-02, 0.000000000E+00
         9,-4.135238236E+00, 2.000000047E-01, 1.677850518E-15, 3.754527641E+00, 0.000000000E+00, 0.000000000E+00, 5.000000075E+01, 3.477019837E-02, 0.000000000E+00
        10,-4.106746967E+00, 2.000000008E-01, 1.674643977E-15, 3.780304338E+00, 0.000000000E+00, 0.000000000E+00, 5.000000000E+01, 3.395479211E-02, 0.000000000E+00
        11,-3.935772640E+00, 1.999999921E-01, 1.671758537E-15, 3.962171209E+00, 0.000000000E+00, 0.000000000E+00, 4.999999925E+01, 3.191761104E-02, 0.000000000E+00
        12,-3.906367443E+00, 1.999999913E-01, 1.670147294E-15, 3.995734535E+00, 0.000000000E+00, 0.000000000E+00, 4.999999925E+01, 3.131782484E-02, 0.000000000E+00
        13,-3.737761006E+00, 2.000000071E-01, 1.668402242E-15, 4.214031063E+00, 0.000000000E+00, 0.000000000E+00, 5.000000075E+01, 3.481767552E-02, 0.000000000E+00
