nodenumber,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      y-velocity,      x-velocity,        pressure,boundary-normal-dist
         1, 5.246802807E+00,-5.106025562E-02, 4.146428223E+02, 7.655361176E+00,-3.140252233E-01, 4.999900818E+01, 2.090878487E-01, 0.000000000E+00
         2, 5.166822433E+00,-5.055795237E-02, 4.205030212E+02, 7.794709206E+00,-3.140252233E-01, 4.999901199E+01,-1.479863375E-01, 0.000000000E+00
         3, 5.086842060E+00,-5.005564913E-02, 4.303233337E+02, 8.077288628E+00,-3.140252233E-01, 4.999900818E+01,-8.421102166E-01, 0.000000000E+00
         4, 5.006861687E+00,-4.955334216E-02, 4.404345093E+02, 8.369514465E+00,-3.140252233E-01, 4.999901199E+01,-8.188257217E-01, 0.000000000E+00
         5, 4.926881313E+00,-4.905103892E-02, 4.555772705E+02, 8.672017097E+00,-3.140251935E-01, 4.999900818E+01,-9.530081749E-01, 0.000000000E+00
         6, 4.846900463E+00,-4.854873568E-02, 4.761908875E+02, 8.989295006E+00,-3.140251935E-01, 4.999900818E+01,-1.119648337E+00, 0.000000000E+00
         7, 4.766920090E+00,-4.804642871E-02, 4.994125977E+02, 9.301383018E+00,-3.140252233E-01, 4.999901199E+01,-1.342549682E+00, 0.000000000E+00
         8, 4.686939716E+00,-4.754412174E-02, 5.224427490E+02, 9.590600014E+00,-3.140252233E-01, 4.999900818E+01,-1.571876168E+00, 0.000000000E+00
         9, 4.606959343E+00,-4.704181850E-02, 5.457969971E+02, 9.875522614E+00,-3.140252233E-01, 4.999901199E+01,-1.727659106E+00, 0.000000000E+00
        10, 4.526978493E+00,-4.653951526E-02, 5.705617065E+02, 1.017237377E+01,-3.140252233E-01, 4.999901199E+01,-1.801356554E+00, 0.000000000E+00
        11, 4.446998119E+00,-4.603721201E-02, 5.972282104E+02, 1.048726368E+01,-3.140252233E-01, 4.999900818E+01,-1.795896411E+00, 0.000000000E+00
        12, 4.367017746E+00,-4.553490505E-02, 6.259880981E+02, 1.082165146E+01,-3.140252233E-01, 4.999901199E+01,-1.680216551E+00, 0.000000000E+00
        13, 4.287037373E+00,-4.503260180E-02, 6.570016479E+02, 1.117655087E+01,-3.140252233E-01, 4.999900818E+01,-1.422354460E+00, 0.000000000E+00
        14, 4.207056999E+00,-4.453029856E-02, 6.904647217E+02, 1.155327034E+01,-3.140252233E-01, 4.999901199E+01,-1.018591285E+00, 0.000000000E+00
        15, 4.127076149E+00,-4.402799532E-02, 7.266724243E+02, 1.195407867E+01,-3.140252233E-01, 4.999901199E+01,-4.475851357E-01, 0.000000000E+00
        16, 4.047095776E+00,-4.352569208E-02, 7.659079590E+02, 1.238094616E+01,-3.140252233E-01, 4.999900818E+01, 3.133800626E-01, 0.000000000E+00
        17, 3.967115402E+00,-4.302338511E-02, 8.084957886E+02, 1.283610725E+01,-3.140252233E-01, 4.999901581E+01, 1.288859367E+00, 0.000000000E+00
        18, 3.887135029E+00,-4.252108186E-02, 8.548087769E+02, 1.332208824E+01,-3.140252233E-01, 4.999901581E+01, 2.505019426E+00, 0.000000000E+00
        19, 3.807154417E+00,-4.201877862E-02, 9.052678223E+02, 1.384167385E+01,-3.140252233E-01, 4.999901199E+01, 3.988912106E+00, 0.000000000E+00
        20, 3.727174044E+00,-4.151647538E-02, 9.603543091E+02, 1.439798737E+01,-3.140252233E-01, 4.999901199E+01, 5.770593166E+00, 0.000000000E+00
        21, 3.647193432E+00,-4.101416841E-02, 1.020617493E+03, 1.499451733E+01,-3.140252233E-01, 4.999901581E+01, 7.882626057E+00, 0.000000000E+00
        22, 3.567213058E+00,-4.051186144E-02, 1.086685181E+03, 1.563515186E+01,-3.140252233E-01, 4.999901199E+01, 1.035902977E+01, 0.000000000E+00
        23, 3.487232685E+00,-4.000955820E-02, 1.159277832E+03, 1.632425117E+01,-3.140252233E-01, 4.999901581E+01, 1.323542786E+01, 0.000000000E+00
        24, 3.407252073E+00,-3.950725496E-02, 1.239223877E+03, 1.706669426E+01,-3.140252233E-01, 4.999901199E+01, 1.654899025E+01, 0.000000000E+00
        25, 3.327271700E+00,-3.900494799E-02, 1.327477051E+03, 1.786796570E+01,-3.140252233E-01, 4.999901199E+01, 2.033826637E+01, 0.000000000E+00
        26, 3.247291088E+00,-3.850264475E-02, 1.425138062E+03, 1.873420906E+01,-3.140252233E-01, 4.999901581E+01, 2.464073563E+01, 0.000000000E+00
        27, 3.167310715E+00,-3.800034150E-02, 1.533468994E+03, 1.967224121E+01,-3.140252233E-01, 4.999901199E+01, 2.948983574E+01, 0.000000000E+00
        28, 3.087330341E+00,-3.749803826E-02, 1.653922729E+03, 2.068964386E+01,-3.140252233E-01, 4.999901581E+01, 3.491421890E+01, 0.000000000E+00
        29, 3.007349491E+00,-3.699573129E-02, 1.788173828E+03, 2.179489136E+01,-3.140252233E-01, 4.999901581E+01, 4.093445969E+01, 0.000000000E+00
        30, 2.927369118E+00,-3.649342805E-02, 1.938145386E+03, 2.299733925E+01,-3.140252233E-01, 4.999901581E+01, 4.755754852E+01, 0.000000000E+00
        31, 2.847388506E+00,-3.599112481E-02, 2.106042969E+03, 2.430727577E+01,-3.140252233E-01, 4.999901199E+01, 5.476868820E+01, 0.000000000E+00
        32, 2.767408133E+00,-3.548882157E-02, 2.294391357E+03, 2.573600006E+01,-3.140252233E-01, 4.999901199E+01, 6.252100372E+01, 0.000000000E+00
        33, 2.687427521E+00,-3.498651832E-02, 2.506088135E+03, 2.729597092E+01,-3.140252233E-01, 4.999901581E+01, 7.072611237E+01, 0.000000000E+00
        34, 2.607447147E+00,-3.448421136E-02, 2.744478760E+03, 2.900098228E+01,-3.140252233E-01, 4.999901199E+01, 7.924758911E+01, 0.000000000E+00
        35, 2.527466774E+00,-3.398190811E-02, 3.013517822E+03, 3.086695671E+01,-3.140252233E-01, 4.999901581E+01, 8.782742310E+01, 0.000000000E+00
        36, 2.447486162E+00,-3.347960114E-02, 3.317132324E+03, 3.290746689E+01,-3.140252233E-01, 4.999901199E+01, 9.601953125E+01, 0.000000000E+00
        37, 2.367505789E+00,-3.297729790E-02, 3.659677490E+03, 3.513638306E+01,-3.140252233E-01, 4.999901199E+01, 1.035950241E+02, 0.000000000E+00
        38, 2.287525177E+00,-3.247499093E-02, 4.045359375E+03, 3.756415176E+01,-3.140252233E-01, 4.999901581E+01, 1.100905075E+02, 0.000000000E+00
        39, 2.207544804E+00,-3.197269142E-02, 4.466379395E+03, 4.012887955E+01,-3.140252233E-01, 4.999901581E+01, 1.135981674E+02, 0.000000000E+00
        40, 2.127564192E+00,-3.147038445E-02, 4.927150879E+03, 4.284343338E+01,-3.140252233E-01, 4.999901199E+01, 1.126055298E+02, 0.000000000E+00
        41, 2.047584057E+00,-3.096807934E-02, 5.448433105E+03, 4.581350708E+01,-3.140251935E-01, 4.999900818E+01, 1.065246735E+02, 0.000000000E+00
        42, 1.967603326E+00,-3.046577610E-02, 6.019572754E+03, 4.896175385E+01,-3.140252233E-01, 4.999901199E+01, 9.350605011E+01, 0.000000000E+00
        43, 1.887622833E+00,-2.996347100E-02, 6.620999512E+03, 5.216871262E+01,-3.140252233E-01, 4.999901199E+01, 7.104150391E+01, 0.000000000E+00
        44, 1.807642460E+00,-2.946116775E-02, 7.250998047E+03, 5.542232132E+01,-3.140252233E-01, 4.999901199E+01, 3.677691650E+01, 0.000000000E+00
        45, 1.727661967E+00,-2.895886451E-02, 7.896921387E+03, 5.864764404E+01,-3.140252233E-01, 4.999901199E+01,-1.150561047E+01, 0.000000000E+00
        46, 1.647681475E+00,-2.845655940E-02, 8.461170898E+03, 6.134330750E+01,-3.140252233E-01, 4.999901199E+01,-7.541588593E+01, 0.000000000E+00
        47, 1.567700982E+00,-2.795425430E-02, 8.855209961E+03, 6.296337128E+01,-3.140252233E-01, 4.999901199E+01,-1.550545349E+02, 0.000000000E+00
        48, 1.487720490E+00,-2.745194919E-02, 9.013505859E+03, 6.295328140E+01,-3.140252233E-01, 4.999901199E+01,-2.484493408E+02, 0.000000000E+00
        49, 1.407740116E+00,-2.694964595E-02, 8.870532227E+03, 6.063524246E+01,-3.140252233E-01, 4.999901199E+01,-3.502398071E+02, 0.000000000E+00
        50, 1.327759624E+00,-2.644734085E-02, 8.401825195E+03, 5.562042236E+01,-3.140252233E-01, 4.999901199E+01,-4.523568420E+02, 0.000000000E+00
        51, 1.247779131E+00,-2.594503760E-02, 8.054529785E+03, 5.029528046E+01,-3.140252531E-01, 4.999901199E+01,-5.475590210E+02, 0.000000000E+00
        52, 1.178449631E+00,-2.550962381E-02, 8.035445312E+03, 4.683078384E+01,-3.140252233E-01, 4.999900818E+01,-6.213850098E+02, 0.000000000E+00
        53, 1.117654800E+00,-2.512781322E-02, 8.060736816E+03, 4.380833054E+01,-3.140252233E-01, 4.999900818E+01,-6.728901978E+02, 0.000000000E+00
        54, 1.065545082E+00,-2.480054647E-02, 8.045978027E+03, 4.089490128E+01,-3.140252233E-01, 4.999901199E+01,-6.998292847E+02, 0.000000000E+00
        55, 1.020879507E+00,-2.452003025E-02, 7.930450195E+03, 3.800756073E+01,-3.140252233E-01, 4.999901199E+01,-7.081317749E+02, 0.000000000E+00
        56, 9.808892608E-01,-2.426887862E-02, 7.617834961E+03, 3.492296982E+01,-3.140252233E-01, 4.999901199E+01,-7.009124146E+02, 0.000000000E+00
        57, 9.408990145E-01,-2.401772700E-02, 6.804071289E+03, 3.088036156E+01,-3.140252233E-01, 4.999901199E+01,-6.768500977E+02, 0.000000000E+00
        58, 9.009087682E-01,-2.376657352E-02, 4.926319824E+03, 2.411141586E+01,-3.140252233E-01, 4.999901199E+01,-6.550414429E+02, 0.000000000E+00
        59, 8.609185815E-01,-2.351542190E-02, 2.840259277E+03, 1.635135841E+01,-3.140252233E-01, 4.999901199E+01,-6.690046997E+02, 0.000000000E+00
        60, 8.209283352E-01,-2.326427028E-02, 2.020847656E+03, 1.282699108E+01,-3.140252233E-01, 4.999901199E+01,-7.134045410E+02, 0.000000000E+00
        61, 7.809380889E-01,-2.301311865E-02, 1.959045532E+03, 1.252020264E+01,-3.140252233E-01, 4.999901199E+01,-7.480220337E+02, 0.000000000E+00
        62, 7.409478426E-01,-2.276196517E-02, 1.871129395E+03, 1.213675785E+01,-3.140252233E-01, 4.999901199E+01,-7.576268311E+02, 0.000000000E+00
        63, 7.009575963E-01,-2.251081355E-02, 1.764495850E+03, 1.164272976E+01,-3.140252233E-01, 4.999901199E+01,-7.562956543E+02, 0.000000000E+00
        64, 6.609673500E-01,-2.225966193E-02, 1.703306641E+03, 1.129678249E+01,-3.140252233E-01, 4.999901199E+01,-7.549353638E+02, 0.000000000E+00
        65, 6.209771633E-01,-2.200851031E-02, 1.704466919E+03, 1.112035751E+01,-3.140252233E-01, 4.999901199E+01,-7.545457764E+02, 0.000000000E+00
        66, 5.814561844E-01,-2.176030539E-02, 1.751854492E+03, 1.100325871E+01,-3.140252233E-01, 4.999901199E+01,-7.541002808E+02, 0.000000000E+00
